subject,condition,list,order,prime_verb,prime_type,target,response
14,LVC,3,6,scolding,DO,12_T,P
14,LVC,3,9,command,PO,13_T,P
14,LVC,3,5,bow,PO,15_T,OTHER
14,LVC,3,10,aid,DO,16_T,D
14,LVC,3,14,beating,PO,19_T,P
14,LVC,3,3,hug,PO,20_T,P
14,LVC,3,13,answer,DO,21_T,D
14,LVC,3,12,reply,DO,23_T,P
14,LVC,3,11,tip,PO,26_T,D
14,LVC,3,7,advice,DO,3_T,P
14,LVC,3,1,encouragement,PO,4_T,P
14,LVC,3,2,massage,PO,5_T,P
14,LVC,3,8,smile,DO,6_T,P
15,NLVC,7,4,bouquet,PO,11_T,P
15,NLVC,7,3,video tape,DO,12_T,D
15,NLVC,7,10,toy,DO,13_T,D
15,NLVC,7,14,flower,PO,15_T,P
15,NLVC,7,1,number,PO,16_T,D
15,NLVC,7,9,ball,PO,19_T,D
15,NLVC,7,2,music,DO,20_T,D
15,NLVC,7,7,jumper cable,DO,21_T,P
15,NLVC,7,12,contract,PO,23_T,P
15,NLVC,7,5,check,DO,26_T,D
15,NLVC,7,6,apple,PO,3_T,P
15,NLVC,7,11,key,DO,4_T,D
15,NLVC,7,13,towel,DO,5_T,D
15,NLVC,7,8,cigarette,PO,6_T,P
16,IDIOM,1,6,go-ahead,PO,11_T,D
16,IDIOM,1,14,whirl,DO,12_T,D
16,IDIOM,1,9,ax,PO,13_T,P
16,IDIOM,1,13,piece of her mind,PO,15_T,D
16,IDIOM,1,1,blank check,PO,16_T,MISSING
16,IDIOM,1,3,hand,PO,19_T,D
16,IDIOM,1,12,boot,DO,20_T,D
16,IDIOM,1,7,break,DO,21_T,D
16,IDIOM,1,8,rise,PO,23_T,P
16,IDIOM,1,2,taste of her own medicine,DO,26_T,D
16,IDIOM,1,4,shirt off his back,DO,3_T,D
16,IDIOM,1,5,once-over,PO,4_T,P
16,IDIOM,1,10,fair shake,DO,5_T,D
16,IDIOM,1,11,earful,DO,6_T,MISSING
17,LVC,1,13,beating,DO,11_T,D
17,LVC,1,10,scolding,DO,12_T,D
