participant,list,prime.target,prime.form,prime.condition,prime.item,target.item,target.condition,item,sentence,dispLay,target.form,verb.used,used.target.condition,targetformDO
21,3,target,PO,NL,NL_PO_14,L14.bmp   ,L,Teacher gives a Lecture to students,L14.bmp   ,Teacher gives a Lecture to students,DO,give,L,1
21,3,target,DO,L,L_DO_15,L15.bmp   ,L,CriminaL gives a gLare to the judge,L15.bmp   ,CriminaL gives a gLare to the judge,DO,give,L,1
21,3,target,PO,L,L_PO_16,L16.bmp   ,L,Barber gives a haircut to his cLient,L16.bmp   ,Barber gives a haircut to his cLient,DO,give,L,1
21,3,target,PO,NL,NL_PO_12,NL12.bmp   ,NL,Attorney gives gun to judge,NL12.bmp   ,Attorney gives gun to judge,DO,give,NL,1
21,3,target,PO,NL,NL_PO_11,NL11.bmp   ,NL,Farmer pays money to pLumber,NL11.bmp   ,Farmer pays money to pLumber,DO,give,NL,1
21,3,target,PO,NL,NL_PO_8,NL8.bmp   ,NL,Boy gives girL a pitcher,NL8.bmp   ,Boy gives girL a pitcher,PO,give,NL,0
21,3,target,PO,NL,NL_PO_3,NL3.bmp   ,NL,girL giving boy a sandwich,NL3.bmp   ,girL giving boy a sandwich,PO,give,NL,0
21,3,target,DO,NL,NL_DO_5,L5.bmp   ,L,Boy gives girL a caLL,L5.bmp   ,Boy gives girL a caLL,DO,give,L,1
21,3,target,PO,NL,NL_PO_6,L6.bmp   ,L,GirL gives boy a punch,L6.bmp   ,GirL gives boy a punch,DO,give,L,1
21,3,target,DO,L,L_DO_7,L7.bmp   ,L,Mother gives the baby comfort,L7.bmp   ,Mother gives the baby comfort,DO,give,L,1
21,3,target,PO,NL,NL_PO_18,L18.bmp   ,L,Student gives an answer to the teacher,L18.bmp   ,Student gives an answer to the teacher,DO,give,NL,1
21,3,target,DO,L,L_DO_5,NL5.bmp   ,NL,Student gives teacher fLowers,NL5.bmp   ,Student gives teacher fLowers,DO,give,NL,1
21,3,target,DO,NL,NL_DO_17,L17.bmp   ,L,Nurse gives aid to the patient,L17.bmp   ,Nurse gives aid to the patient,DO,give,NL,1
21,3,target,PO,NL,NL_PO_4,NL4.bmp   ,NL,Waitress gives customer menu,NL4.bmp   ,Waitress gives customer menu,DO,give,NL,1
21,3,target,PO,NL,NL_PO_15,NL15.bmp   ,NL,Boy giving bottLe to girL,NL15.bmp   ,Boy giving bottLe to girL,PO,give,NL,0
21,3,target,DO,L,L_DO_2,NL2.bmp   ,NL,waitress gives customer a gLass,NL2.bmp   ,waitress gives customer a gLass,DO,give,NL,1
21,3,target,DO,L,L_DO_1,NL1.bmp   ,NL,Cowboy gives cLown a hat,NL1.bmp   ,Cowboy gives cLown a hat,DO,give,NL,1
21,3,target,PO,NL,NL_PO_20,NL20.bmp   ,NL,boy gives K to girL,NL20.bmp   ,boy gives K to girL,PO,give,NL,0
